Real Price Paid,Interest Rate,Interest Rate % Change 1Q,Interest Rate % Change 2Q,Interest Rate % Change 4Q,FTSE 100,FTSE 100 % Change 1Q,FTSE 100 % Change 2Q,FTSE 100 % Change 4Q,CVM SA GDP (m),CVM SA GDP % Change 1Q,CVM SA GDP % Change 2Q,CVM SA GDP % Change 4Q,Date of Transaction,Number of Bedrooms,Number of Bathrooms,Number of Reception Rooms,Floor Area,Property Type,New Build?,Estate Type,Latitude,Longitude,Distance to The Lake (Meters),Time to The Lake (Seconds),Distance to The Orchard (Meters),Time to The Orchard (Seconds),Distance to Clarence Park (Meters),Time to Clarence Park (Seconds),Distance to Oysterfields (Meters),Time to Oysterfields (Seconds),Distance to Victoria Playing Field (Meters),Time to Victoria Playing Field (Seconds),Distance to Highfield Park (Meters),Time to Highfield Park (Seconds),Distance to Birklands Park (Meters),Time to Birklands Park (Seconds),Distance to The Wick (Meters),Time to The Wick (Seconds),Distance to St Albans City (Meters),Time to St Albans City (Seconds),Distance to St Albans Abbey (Meters),Time to St Albans Abbey (Seconds),Stations Within 5 Minute Walk,Stations Within 10 Minute Walk,Stations Within 15 Minute Walk
124242,6.13,8.2,16.3,12.2,3027.0,1.8731,2.3224,-10.8457,316003,0.42278080,1.02309155,3.27022212,34705.00,3,1,2,,0,FALSE,0,51.7462108,-0.3290585,2302,1718,1236,948,1548,1116,2173,1633,1860,1413,2809,2085,2084,1530,2853,2180,847,684,1524,1120,0,0,1
90833,6.13,8.2,16.3,12.2,3027.0,1.8731,2.3224,-10.8457,316003,0.42278080,1.02309155,3.27022212,34705.00,2,,1,448,2,FALSE,0,51.7482869,-0.3351567,1874,1391,791,607,1906,1377,1794,1340,1482,1120,3334,2478,2613,1920,2861,2170,885,703,1187,884,0,0,2
177273,6.13,8.2,16.3,12.2,3027.0,1.8731,2.3224,-10.8457,316003,0.42278080,1.02309155,3.27022212,34705.00,4,2,2,,1,FALSE,0,51.7568785,-0.3061161,4494,3359,3480,2612,3299,2448,3734,2792,3244,2436,2015,1519,3128,2351,760,564,2149,1661,3730,2870,0,0,0
105682,6.13,8.2,16.3,12.2,3068.5,-1.9554,-0.0945,-9.8550,316003,0.42278080,1.02309155,3.27022212,34715.00,2,1,2,,2,FALSE,0,51.7528356,-0.3108356,3797,2875,2754,2127,2638,1955,3257,2491,2766,2135,1821,1364,2787,2088,1178,892,1445,1124,3070,2376,0,0,0
109091,6.13,8.2,16.3,12.2,3006.8,0.3991,-3.6451,-14.4838,316003,0.42278080,1.02309155,3.27022212,34726.00,2,1,1,,2,FALSE,0,51.7479884,-0.3074718,4046,3052,3003,2304,2094,1508,3617,2758,3127,2402,1210,898,2114,1547,1849,1407,1694,1302,3172,2396,0,0,0
115385,6.63,15.1,22.6,22.6,3099.0,0.1904,-2.2330,-11.1649,316003,0.42278080,1.02309155,3.27022212,34740.00,2,1,1,,2,FALSE,0,51.7473772,-0.3323256,2058,1533,992,763,1779,1298,1956,1467,1643,1246,3102,2314,2377,1759,2706,2081,699,584,1372,1026,0,1,1
88235,6.63,15.1,22.6,22.6,3048.9,0.3641,-4.3917,-9.0229,316003,0.42278080,1.02309155,3.27022212,34754.00,2,1,2,597,2,FALSE,0,51.7482939,-0.3350614,1877,1393,794,609,1909,1379,1791,1337,1478,1117,3338,2480,2616,1922,2857,2167,881,700,1190,886,0,0,2
130845,6.63,15.1,22.6,22.6,3022.0,-0.5923,-6.6016,-8.7823,316003,0.42278080,1.02309155,3.27022212,34758.00,2,2,2,857.9,2,FALSE,0,51.7475971,-0.3321053,2087,1551,1021,781,1808,1316,1927,1442,1614,1221,3090,2311,2365,1756,2677,2056,671,559,1400,1044,0,1,1
122939,6.63,7.5,22.6,22.6,2991.5,-0.1972,-6.4115,-8.7782,316003,0.42278080,1.02309155,3.27022212,34768.00,3,1,2,695,2,FALSE,0,51.7355835,-0.3423241,2374,1754,1949,1485,1792,1265,3208,2411,2896,2190,4184,3103,3148,2278,4776,3617,2811,2117,1161,835,0,0,1
100375,6.63,7.5,22.6,22.6,2991.5,-0.1972,-6.4115,-8.7782,316003,0.42278080,1.02309155,3.27022212,34768.00,2,1,1,,2,FALSE,0,51.7470547,-0.3043736,4275,3227,3233,2478,2187,1591,3846,2933,3356,2577,867,647,1979,1479,1731,1324,1923,1476,3402,2571,0,0,0
